DateTime,Date,Time,StationName,GroupName,Latitude,Longitude,Benthic Classification Name,Benthic Classification Code,Count,Comments,Active Construction,Algae Color,Algae Located,Aquatic Veg/Decaying Matter,Area 1 Sampled,Barriers To Fish Movement,Bottom Type,Channel Width,Collection Time (Net 1),Collection Time (Net 2),Collection Time (Net 3),Collection Time (Net 4),Cropland,Define Other Bank Composition,Define Other Land Use,Define Other Organism,Describe the Amount and Type of Litter,Fields,Fish Water Quality Indicators,Forest,Housing Development,Indicate Current and Potential Threats,Livestock Pasture,Logging,Mining,Odor,Oil and Gas Drilling,Other Land Use,Percent Algae,Percent Bare Soil,Percent Boulders,Percent Cobbles,Percent Grass,Percent Gravel,Percent Other,Percent Rocks,Percent Sand,Percent Shrubs,Percent Silt,Percent Trees,Sanitary Landfill,Silt/Sand/Gravel,Snags/Logs Jabs,Snags/Logs,Stability of Stream,Stream Bed Deposit,Stream Channel Erosion,Stream Channel Shade,Stream Flow,Surface Water Appearance,Trash Dump,Urban Uses,Vegetated Jabs,Vegetated,Weather Conditions,Weather Last 72 Hours
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Beetles,B,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Blackflies,BF,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Crayfish,C,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Clams,CL,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Common Netspinners,CN,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Dragonflies and Damselflies,DD,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Flatworms,F,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Gilled Snails,GS,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,"Hellgrammites, Fishflies, and Alderflies",HFA,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
2016-01-14T09:00:00,1/14/2016,9:00:00,09-PL22-Sna-DR29,Reston Association,38.9366922,-77.3588976,Leeches,L,0,,,Light Green,In Spots,,,No Barriers,Rocky,9.75,21-89,,,,,,,,Shoe sole,,No Fish,Moderate,High,There is a lot of litter that comes from the pedestrians from the adjacent trails and that which is carried by runoff from the adjacent village center. ,,,,No Odor,,,30,10,15,40,30,40,0,0,5,30,0,30,,,,,No Spots,Other,Moderate,High,Normal,Clear,,High,,,,Today: Hi 50
