Name,Description,CMC Code,Units,CBP Method,Tier,NonfatalLowerRange,NonfatalUpperRange,Matrix,Tidal,Non Tidal?,Requires Sample Depth?,Requires Duplicate?,Is Calibration Parameter?,Analytical Method,USEPA Approved Procedure,Equipment,Precision,Accuracy,Range,In Situ Or Lab?,Qc Criteria?,Inspection Frequency,Inspection Type,Calibration Frequency,Standard Or Cal Instrument Used,Tier Justification,Holding Time,Sample Preservation
Alkalinity,Alkalinity (Titration),ALKY.1,mg/L,257,2,0,500,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Kit,EPA-NERL: 310.1,Titration Test Kit (ex. LaMotte 4491-DR-01; LaMotte 3467-01; LaMotte 4533-DR-01),4 mg/L,Unknown - testing needed,0-200+ mg/L,,< 0 mg/L; > 400 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,24 hours,Cool; <= 6 deg C
Alkalinity,Alkalinity,ALKY.2,mg/L,999,2,0,500,Water,FALSE,TRUE,FALSE,TRUE,FALSE,Probe,See Appendix A,"Field Colorimeter (ex. Hanna HI 775 Digital Checker, Colorimeter)",1 mg/L,+- 5%; 5 mg/L,0 - 500 mg/L,,< 0 mg/L; > 400 mg/L,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,HI775-11 Alkalinity Checker HC Calibration Check Set,"Standardization, >10% field reps",24 hours,Cool; <= deg C
Air temperature,Air Temperature,AT.1,deg C,423,2,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Armored Thermometer (ex. LaMotte 1066),0.5 deg C,1 deg C,-5 - 45 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer reads approximate air temperature; armored case is intact; no gaps in liquid column,Annually,NIST Verified thermometer,"Verified against NIST verified thermometer, >10% field reps",N/A,N/A
Air temperature,Air Temperature,AT.2,deg C,423,2,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1,Digital Thermometer (Ex. Hanna 98509),0.1 deg C,+- 0.2 deg C,-50 - 150 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature. Metal stem is undamaged.,Annually,NIST Verified thermometer,"Verified against NIST verified thermometer, >10% field reps",N/A,N/A
Air temperature,Air Temperature,AT.3,deg C,423,2,-20,40,Air,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 170.1; As described in probe manual,Multiparameter Probe (Ex. LaMotte 1761),0.1 deg C,+- 1.0 deg C,0 - 50 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,NIST Verified thermometer,"Verified against NIST verified thermometer, >10% field reps",N/A,N/A
Chlorophyll a,Chlorophyll a,CHL.1,ug/L,25,p2,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 445.0,Lab Analysis (Fluorometry),,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,30 days,Freeze to -20 C
Chlorophyll a,Chlorophyll a,CHL.2,ug/L,25,2,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 445.0,Lab Analysis (Fluorometry),,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified lab/10% blank/>10% duplicate,30 days,Freeze to -20 C
Chlorophyll a;b;c,Chlorophyll a;b;c,CHL.3,ug/L,23,p2,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,Lab Analysis (Spectrophotometry),<= 20% RPD,N/A,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,30 days,Freeze to -20 C
Chlorophyll a;b;c,Chlorophyll a;b;c,CHL.4,ug/L,23,2,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,Lab Analysis (Spectrophotometry),<= 20% RPD,N/A,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Certified lab/>10% blank/>10% duplicate,30 days,Freeze to -20 C
Chlorophyll a;b;c,Chlorophyll a;b;c,CHL.5,mg/L,999,2,0,200,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 447.0,HPLC,,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Lab Analysis,30 days,Freeze to -20 C
Chlorophyll a;b;c,Chlorophyll a,CHL.6,ug/L,23,3,0,200000,Water,TRUE,FALSE,TRUE,TRUE,FALSE,Lab,USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,Lab Analysis (Spectrophotometry),,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,Tier III approved,30 days,Freeze to -20 C
Conductivity,Conductivity,CO.1,uS/cm,242,2,0,20000,Water,TRUE,TRUE,FALSE,TRUE,FALSE,Probe,USEPA Method 120.1,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration, >10% field reps",28 days,Cool; <= deg C
Conductivity,Conductivity,CO.2,mS/cm,242,2,0,20,Water,TRUE,TRUE,TRUE,TRUE,FALSE,Probe,USEPA Method 120.1,"Multiprobe Sonde (ex. YSI, Hydrolab)",0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,"Calibration, >10% field reps",28 days,Cool; <= deg C
