Id,Code,Name,NameLong,Description,Lat,Long,Cbseg,Datum,CityCounty,Fips,Huc12,Huc6Name,State,Tidal,WaterBody,Comments,Status,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,StationSamplingMethodId
62,VIMS.GI,GI,,Goodwin Island (NERRS),37.21722,-76.392222,,NAD83,York County,51199,020801080101,Lower Chesapeake,Virginia,TRUE,Poquoson River-Lower Chesapeake Bay,testing,TRUE,,1900-01-01T00:00:00Z,96e7511e-704d-4790-aeae-f5a0043edf31,2017-08-30T20:52:25.337Z,,Virginia Institute of Marine Science
140,NWA.DEHE1,DEHE1,Redden Road,Bridge,38.7475,-75.5816,,NAD83,Sussex County,10005,020801090402,Lower Chesapeake,Delaware,FALSE,Headwaters Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
141,NWA.DEHE2,DEHE2,Rifle Range Road,Bridge,38.7283,-75.562,,NAD83,Sussex County,10005,020801090404,Lower Chesapeake,Delaware,FALSE,Clear Brook-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
142,NWA.DEHE3,DEHE3,Middleford,Private dock,38.6647,-75.5639,,NAD83,Sussex County,10005,020801090404,Lower Chesapeake,Delaware,TRUE,Clear Brook-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
143,NWA.DEHE4,DEHE4,Glen Sizemore Realty,Private dock,38.643,-75.5929,,NAD83,Sussex County,10005,020801090405,Lower Chesapeake,Delaware,TRUE,Butler Mill Branch-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,96e7511e-704d-4790-aeae-f5a0043edf31,2017-09-25T16:31:41.157Z,,Nanticoke Watershed Alliance
144,NWA.DENA2,DENA2,Seaford Boat Launch,Public dock,38.6336,-75.6177,,NAD83,Sussex County,10005,020801090405,Lower Chesapeake,Delaware,TRUE,Butler Mill Branch-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
145,NWA.DENA4,DENA4,Woodland Ferry,Private dock,38.6013,-75.6563,,NAD83,Sussex County,10005,020801090405,Lower Chesapeake,Delaware,TRUE,Butler Mill Branch-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
146,NWA.MANA1,MANA1,Cherry Beach Park,Dock,38.5456,-75.7175,,NAD83,Wicomico County,24045,020801090406,Lower Chesapeake,Maryland,TRUE,Gales Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
147,NWA.MANA2,MANA2,Riverton Wharf,Private dock,38.5124,-75.7561,,NAD83,Wicomico County,24045,020801090501,Lower Chesapeake,Maryland,TRUE,Chicone Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
148,NWA.MANA3,MANA3,Vienna Docks,Floating dock,38.4828,-75.8232,,NAD83,Dorchester County,24019,020801090501,Lower Chesapeake,Maryland,TRUE,Chicone Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
