Monitoring Location Name,Monitoring Location Type Name,Latitude,Longitude,Organization Formal Name
"BUCKS BRANCH NEAR WESLEY CHURCH, DE",Stream,-75.6545278,38.6939444,USGS Maryland Water Science Center
"BUCKS BRANCH NEAR ATLANTA, DE",Stream,-75.6348889,38.6914722,USGS Maryland Water Science Center
"FIELD DITCH OUTLET AT WESLEY CHURCH, DE",Stream: Ditch,-75.6383889,38.6962778,USGS Maryland Water Science Center
"GILBERT TRIVITTS DITCH AT CANNON, DE",Stream: Ditch,-75.6263333,38.6919444,USGS Maryland Water Science Center
"FARM CREEK NEAR TODDVILLE, MD",Stream: Tidal stream,-76.0885556,38.3184722,USGS Maryland Water Science Center
"CHOPTANK RIVER NEAR GREENSBORO, MD",Stream,-75.7858056,38.9971944,USGS Maryland Water Science Center
"ANDOVER BRANCH NR STEVENS CORNERS, MD",Stream,-75.78275,39.2304444,USGS Maryland Water Science Center
"UNMD TR TO CHESTER R AT FORD LNDG NR CRUMPTON, MD",Stream,-75.8885833,39.2425,USGS Maryland Water Science Center
"UNNAMED TR TO CHESTER R NR CHESTERVILLE, MD",Stream,-75.9151389,39.2552222,USGS Maryland Water Science Center
"PEARL CREEK NEAR MCGINNES, MD",Stream,-75.9332222,39.2175278,USGS Maryland Water Science Center
"TRIBUTARY TO PEARL CREEK NEAR CRUMPTON, MD",Stream,-75.9283611,39.2221667,USGS Maryland Water Science Center
"PEARL CREEK AT MILLINGTON ROAD AT CRUMPTON, MD",Stream,-75.9309444,39.2256111,USGS Maryland Water Science Center
"UNNAMED TRIBUTARY TO CHESTER RIVER AT MCGINNES, MD",Stream,-75.9456389,39.2244722,USGS Maryland Water Science Center
"COW CREEK NEAR CHESTERVILLE, MD",Stream,-75.9293852,39.2892773,USGS Maryland Water Science Center
"CHESTERVILLE BRANCH NEAR CHESTERVILLE, MD",Stream,-75.928274,39.2881662,USGS Maryland Water Science Center
"CHESTERVILLE BRANCH AT CHESTERVILLE, MD",Stream,-75.9391077,39.2745547,USGS Maryland Water Science Center
"CHESTERVILLE BRANCH NEAR CRUMPTON, MD",Stream,-75.9401389,39.2570556,USGS Maryland Water Science Center
